Indicator,2020,2021,2022
FijiDeaths,2.152,713.094,228.024
FijiCases,12925.768,55795.588,17336.563
FijiGDP,8702.975,8702.975,8702.975
FinlandDeaths,64.931,153.709,737.975
FinlandCases,2782.908,25017.567,198155.307
FinlandGDP,40585.721,40585.721,40585.721
FranceDeaths,697.127,1237.741,534.146
FranceCases,31952.351,97227.936,402238.329
FranceGDP,38605.671,38605.671,38605.671
GabonDeaths,22.609,66.565,38.934
GabonCases,5389.073,10280.878,6341.571
GabonGDP,16562.413,16562.413,16562.413
GambiaDeaths,43.615,81.686,10.72
GambiaCases,1531.361,2328.91,847.007
GambiaGDP,1561.767,1561.767,1561.767
GeorgiaDeaths,30.584,2473.317,2004.865
GeorgiaCases,3737.388,169823.881,283448.955
GeorgiaGDP,9745.079,9745.079,9745.079
GermanyDeaths,121.805,1016.642,615.6
GermanyCases,22630.876,47988.633,326318.729
GermanyGDP,45229.245,45229.245,45229.245
GhanaDeaths,109.917,25.394,8.965
GhanaCases,51698.109,2429.745,1194.352
GhanaGDP,4227.63,4227.63,4227.63
GibraltarDeaths,0.06,2968.459,275.426
GibraltarCases,14943.272,158490.685,440432.111
GibraltarGDP,,,
GreeceDeaths,103.186,1415.409,1597.21
GreeceCases,4788.385,63045.043,375627.017
GreeceGDP,24574.382,24574.382,24574.382
GreenlandDeaths,195.283,0,389.422
GreenlandCases,59138.937,10762.208,200870.898
GreenlandGDP,,,
GrenadaDeaths,0,1355.025,510.131
GrenadaCases,191.298,44078.146,106074.492
GrenadaGDP,13593.877,13593.877,13593.877
GuamDeaths,23.912,0,0
GuamCases,5946.165,0,0
GuamGDP,,,
GuatemalaDeaths,186.892,592.346,292.96
GuatemalaCases,5363.39,26844.394,27066.98
GuatemalaGDP,7423.808,7423.808,7423.808
GuineaDeaths,4.896,22.703,4.468
GuineaCases,783.803,1413.41,501.897
GuineaGDP,1998.926,1998.926,1998.926
Guinea-BissauDeaths,19.793,45.125,18.525
Guinea-BissauCases,1178.812,1770.059,1105.636
Guinea-BissauGDP,1548.675,1548.675,1548.675
GuyanaDeaths,108.543,880.449,583.675
GuyanaCases,4036.866,36341.062,46492.828
GuyanaGDP,7435.047,7435.047,7435.047
HaitiDeaths,32.219,35.134,17.439
HaitiCases,2434.394,1173.073,877.777
HaitiGDP,1653.173,1653.173,1653.173
HondurasDeaths,323.161,716.388,113.015
HondurasCases,40382.002,27765.83,7193.043
HondurasGDP,4541.795,4541.795,4541.795
Hong KongDeaths,23.624,14.445,1241.33
Hong KongCases,2105.265,952.249,179740.783
Hong KongGDP,56054.92,56054.92,56054.92
HungaryDeaths,197.337,2952.452,1665.948
HungaryCases,78622.972,79911.783,114715.973
HungaryGDP,26777.561,26777.561,26777.561
IcelandDeaths,141.994,61.682,305.712
IcelandCases,24802.218,24397.775,511312.591
IcelandGDP,46482.958,46482.958,46482.958
IndiaDeaths,174.683,243.063,55.695
IndiaCases,16123.349,19491.533,7269.787
IndiaGDP,6426.674,6426.674,6426.674
IndonesiaDeaths,40.341,476.07,56.229
IndonesiaCases,1447.75,14289.125,7200.148
IndonesiaGDP,11188.744,11188.744,11188.744
IranDeaths,282.494,1059.028,259.354
IranCases,4927.346,57284.406,20779.974
IranGDP,19082.62,19082.62,19082.62
IraqDeaths,228.584,297.525,74.144
IraqCases,9834.045,37187.895,10010.633
IraqGDP,15663.986,15663.986,15663.986
IrelandDeaths,359.991,682.231,479.979
IrelandCases,7302.984,69444.65,251960.533
IrelandGDP,67335.293,67335.293,67335.293
IsraelDeaths,197.038,662.506,387.027
IsraelCases,25485.7,110791.196,350298.446
IsraelGDP,33132.32,33132.32,33132.32
ItalyDeaths,664.252,1602.691,681.212
ItalyCases,20072.476,73504.873,268155.754
ItalyGDP,35220.084,35220.084,35220.084
JamaicaDeaths,164.679,609.04,494.092
JamaicaCases,53510.398,26369.271,23297.173
JamaicaGDP,8193.571,8193.571,8193.571
JapanDeaths,63.629,125.982,117.313
JapanCases,3077.571,12870.521,71030.857
JapanGDP,39002.223,39002.223,39002.223
JerseyDeaths,0,122.941,0
JerseyCases,0,96675.241,0
JerseyGDP,,,
JordanDeaths,2.308,935.675,308.702
JordanCases,351.051,71559.454,79183.317
JordanGDP,8337.49,8337.49,8337.49
KazakhstanDeaths,107.668,686.308,205.652
KazakhstanCases,10752.165,43706.214,24866.581
KazakhstanGDP,24055.588,24055.588,24055.588
KenyaDeaths,13.235,79.702,13.735
KenyaCases,4720.552,3853.133,1708.583
KenyaGDP,2993.028,2993.028,2993.028
KiribatiDeaths,0,0.187,99.059
KiribatiCases,0,64.48,24672.922
KiribatiGDP,,1981.132,1981.132
KosovoDeaths,330.505,1237.851,196.949
KosovoCases,9651.676,79925.254,43015.749
KosovoGDP,9795.834,9795.834,9795.834
KuwaitDeaths,161.914,438.784,29.506
KuwaitCases,43503.731,74318.923,55630.902
KuwaitGDP,65530.537,65530.537,65530.537
KyrgyzstanDeaths,229.644,226.98,64.106
KyrgyzstanCases,9985.086,19952.73,3658.782
KyrgyzstanGDP,3393.474,3393.474,3393.474
LaosDeaths,0,2.128,98.553
LaosCases,788.521,2220.601,25716.927
LaosGDP,6397.36,6397.36,6397.36
LatviaDeaths,19.039,1383.278,1772.878
LatviaCases,1555.357,77794.122,375242.474
LatviaGDP,25063.846,25063.846,25063.846
LebanonDeaths,137.458,1444.329,426.969
LebanonCases,65118.425,107174.939,93240.233
LebanonGDP,13367.565,13367.565,13367.565
LesothoDeaths,56.416,161.331,128.376
LesothoCases,18304.892,5745.016,8475.483
LesothoGDP,2851.153,2851.153,2851.153
LiberiaDeaths,18.507,30.741,9.242
LiberiaCases,486.259,833.74,357.559
LiberiaGDP,752.788,752.788,752.788
LibyaDeaths,38.906,593.933,311.495
LibyaCases,2507.54,43605.989,27697.516
LibyaGDP,17881.509,17881.509,17881.509
LiechtensteinDeaths,26.439,1448.359,711.474
LiechtensteinCases,3559.6,84309.48,371134.544
LiechtensteinGDP,,,
LithuaniaDeaths,75.925,1641.074,1670.884
LithuaniaCases,67915.168,108410.436,313261.393
LithuaniaGDP,29524.265,29524.265,29524.265
LuxembourgDeaths,199.895,1090.156,407.637
LuxembourgCases,13335.289,106619.656,291690.405
LuxembourgGDP,94277.965,94277.965,94277.965
MacaoDeaths,80.291,0,0
MacaoCases,58202.373,24.449,289.129
MacaoGDP,104861.851,104861.851,104861.851
MadagascarDeaths,14.954,25.958,14.963
MadagascarCases,1260.358,951.17,760.477
MadagascarGDP,1416.44,1416.44,1416.44
MalawiDeaths,8.917,96.775,24.353
MalawiCases,315.531,2681.886,1285.283
MalawiGDP,1095.042,1095.042,1095.042
MalaysiaDeaths,5.53,444.495,605.295
MalaysiaCases,353.384,48074.185,85971.373
MalaysiaGDP,26808.164,26808.164,26808.164
MaldivesDeaths,75.488,376.087,143.176
MaldivesCases,23807.647,139903.168,191020.194
MaldivesGDP,15183.616,15183.616,15183.616
MaliDeaths,20.807,18.187,8.89
MaliCases,9627.341,534.233,724.777
MaliGDP,2014.306,2014.306,2014.306
MaltaDeaths,18.971,802.529,570.021
MaltaCases,3171.593,64165.471,120584.743
MaltaGDP,36513.323,36513.323,36513.323
Marshall IslandsDeaths,127.502,0,0
Marshall IslandsCases,28622.161,120.213,336.597
Marshall IslandsGDP,3819.202,3819.202,3819.202
MauritaniaDeaths,442.08,108.513,65.437
MauritaniaCases,371011.095,5227.25,5856.452
MauritaniaGDP,3597.633,3597.633,3597.633
MauritiusDeaths,10.861,9.238,753.387
MauritiusCases,1117.58,5174.404,169694.29
MauritiusGDP,20292.745,20292.745,20292.745
MexicoDeaths,482.512,1456.92,581.372
MexicoCases,33345.883,20692.209,21198.238
MexicoGDP,17336.469,17336.469,17336.469
MoldovaDeaths,759.134,1653.538,1420.412
MoldovaCases,208005.907,70947.903,78479.546
MoldovaGDP,5189.972,5189.972,5189.972
MonacoDeaths,213.801,876.928,657.696
MonacoCases,26721.473,80567.775,262886.731
MonacoGDP,,,
MongoliaDeaths,219.232,226.882,395.795
MongoliaCases,65364.048,53641.256,219763.683
MongoliaGDP,11840.846,11840.846,11840.846
MontenegroDeaths,120.829,2502.067,1723.851
MontenegroCases,23068.991,162371.113,211093.61
MontenegroGDP,16409.288,16409.288,16409.288
MontserratDeaths,330.265,0,1812.824
MontserratCases,74368.719,2039.427,224337.181
MontserratGDP,,,
MoroccoDeaths,14.842,271.098,143.39
MoroccoCases,89581.459,18537.842,11882.146
MoroccoGDP,7485.013,7485.013,7485.013
MozambiqueDeaths,5.819,50.7,16.705
MozambiqueCases,2466.391,4035.933,2758.161
MozambiqueGDP,1136.103,1136.103,1136.103
MyanmarDeaths,0.682,225.697,132.876
MyanmarCases,128.319,6223.797,5091.96
MyanmarGDP,5591.597,5591.597,5591.597
NamibiaDeaths,8.3,1237.632,329.981
NamibiaCases,1490.056,46066.567,18060.601
NamibiaGDP,9541.808,9541.808,9541.808
NauruDeaths,0,14.807,0
NauruCases,0,1411.359,236.388
NauruGDP,,12895.635,12895.635
NepalDeaths,81.092,326.308,62.65
NepalCases,363819.184,22604.93,8723.53
NepalGDP,2442.804,2442.804,2442.804
NetherlandsDeaths,354.74,667.449,257.41
NetherlandsCases,3984.612,104119.669,354093.763
NetherlandsGDP,48472.545,48472.545,48472.545
New ZealandDeaths,7.886,0.965,179.74
New ZealandCases,43115.941,253.428,230105.21
New ZealandGDP,36085.843,36085.843,36085.843
NicaraguaDeaths,240.983,11.375,6.48
NicaraguaCases,126903.341,649.362,999.656
NicaraguaGDP,5321.444,5321.444,5321.444
NigerDeaths,3.488,4.795,4.377
NigerCases,137.169,171.298,129.505
NigerGDP,926,926,926
NigeriaDeaths,4.197,5.813,4.56
NigeriaCases,214.365,598.401,374.428
NigeriaGDP,5338.454,5338.454,5338.454
NiueDeaths,0,0.074,0
NiueCases,0,45.873,0
NiueGDP,,,
North KoreaDeaths,131.234,0,0.23
North KoreaCases,26236.553,0,0.038
North KoreaGDP,,,
North MacedoniaDeaths,227.368,2395.402,1820.788
North MacedoniaCases,5016.705,69603.361,74333.958
North MacedoniaGDP,13111.214,13111.214,13111.214
Northern CyprusDeaths,0,125.145,0
Northern CyprusCases,0,15436.997,0
Northern CyprusGDP,,,
Northern IrelandDeaths,0,0,0
Northern IrelandCases,0,0,0
Northern IrelandGDP,,,
NorwayDeaths,46.92,100.28,368.03
NorwayCases,1683.725,23441.927,238547.975
NorwayGDP,64800.057,64800.057,64800.057
PakistanDeaths,24.686,73.041,31.073
PakistanCases,3190.762,3118.131,2212.234
PakistanGDP,5034.708,5034.708,5034.708
PalauDeaths,0,1.008,331.82
PalauCases,0,180.781,277599.361
PalauGDP,,13240.405,13240.405
PalestineDeaths,68.052,672.154,393.126
PalestineCases,29117.634,58327.531,65066.679
PalestineGDP,4449.898,4449.898,4449.898
PanamaDeaths,276.796,1258.896,340.003
PanamaCases,21340.658,84141.117,91910.739
PanamaGDP,22267.037,22267.037,22267.037
